,matrix,fontname,adv,upright,x0,y0,x1,y1,width,height,size,mcid,tag,object_type,page_number,ncs,text,stroking_color,non_stroking_color,top,bottom,doctop,document_number
0,"(12.0, 0.0, 0.0, 12.0, 72.0, 681.36)",DQTIAC+TimesNewRoman,0.25,True,72.0,677.676,75.0,689.676,3.0,12.0,12.0,,Artifact,char,1,DeviceGray, ,"(0,)","(0,)",102.32399999999996,114.32399999999996,102.32399999999996,3
1,"(12.0, 0.0, 0.0, 12.0, 72.0, 653.76)",DQTIAC+TimesNewRoman,0.25,True,72.0,650.076,75.0,662.076,3.0,12.0,12.0,,Artifact,char,1,DeviceGray, ,"(0,)","(0,)",129.92399999999998,141.92399999999998,129.92399999999998,3
2,"(12.0, 0.0, 0.0, 12.0, 310.512, 639.96)",DQTIAC+TimesNewRoman,0.25,True,310.512,636.2760000000001,313.512,648.2760000000001,3.0,12.0,12.0,,Artifact,char,1,DeviceGray, ,"(0,)","(0,)",143.72399999999993,155.72399999999993,143.72399999999993,3
3,"(12.0, 0.0, 0.0, 12.0, 532.44, 639.96)",DQTIAC+TimesNewRoman,0.25,True,532.44,636.2760000000001,535.44,648.2760000000001,3.0,12.0,12.0,,Artifact,char,1,DeviceGray, ,"(0,)","(0,)",143.72399999999993,155.72399999999993,143.72399999999993,3
4,"(12.0, 0.0, 0.0, 12.0, 72.00000000000011, 586.5600000000001)",TimesNewRomanPS-BoldMT,0.25,True,72.00000000000011,583.9680000000001,75.00000000000011,595.9680000000001,3.0,12.0,12.0,,Artifact,char,1,DeviceGray, ,"(0,)","(0,)",196.03199999999993,208.03199999999993,196.03199999999993,3
5,"(12.0, 0.0, 0.0, 12.0, 169.62, 407.16)",DQTIAC+TimesNewRoman,0.25,True,169.62,403.476,172.62,415.476,3.0,12.0,12.0,,Artifact,char,1,DeviceGray, ,"(0,)","(0,)",376.524,388.524,376.524,3
6,"(12.0, 0.0, 0.0, 12.0, 72.0, 393.36)",DQTIAC+TimesNewRoman,0.25,True,72.0,389.676,75.0,401.676,3.0,12.0,12.0,,Artifact,char,1,DeviceGray, ,"(0,)","(0,)",390.324,402.324,390.324,3
7,"(11.52, 0.0, 0.0, 11.52, 321.6, 351.96)",DQTIAC+TimesNewRoman,0.25,True,321.6,348.42336,324.48,359.94336,2.8799999999999955,11.519999999999982,11.519999999999982,,Artifact,char,1,DeviceGray, ,"(0,)","(0,)",432.05664,443.57664,432.05664,3
8,"(12.0, 0.0, 0.0, 12.0, 217.26, 255.4201)",DQTIAC+TimesNewRoman,0.25,True,217.26,251.7361,220.26,263.73609999999996,3.0,11.999999999999972,11.999999999999972,,Artifact,char,1,DeviceGray, ,"(0,)","(0.0,)",528.2639,540.2639,528.2639,3
9,"(12.0, 0.0, 0.0, 12.0, 72.0, 241.62009999999998)",DQTIAC+TimesNewRoman,0.25,True,72.0,237.93609999999998,75.0,249.93609999999998,3.0,12.0,12.0,,Artifact,char,1,DeviceGray, ,"(0,)","(0.0,)",542.0639,554.0639,542.0639,3
