,matrix,fontname,adv,upright,x0,y0,x1,y1,width,height,size,mcid,tag,object_type,page_number,ncs,text,stroking_color,non_stroking_color,top,bottom,doctop,document_number
19,"(12.0, 0.0, 0.0, 12.0, 89.99990000000003, 686.94)",TimesNewRomanPSMT,0.25,True,89.99990000000003,684.3480000000001,92.99990000000003,696.3480000000001,3.0,12.0,12.0,,,char,1,DeviceGray, ,"(0,)","(0,)",95.65199999999993,107.65199999999993,95.65199999999993,4
20,"(12.0, 0.0, 0.0, 12.0, 89.99990000000003, 673.1400000000001)",TimesNewRomanPSMT,0.722,True,89.99990000000003,670.5480000000001,98.66390000000003,682.5480000000001,8.664000000000001,12.0,12.0,,,char,1,DeviceGray,A,"(0,)","(0,)",109.45199999999988,121.45199999999988,109.45199999999988,4
21,"(12.0, 0.0, 0.0, 12.0, 98.66630000000002, 673.1400000000001)",TimesNewRomanPSMT,0.5,True,98.66630000000002,670.5480000000001,104.66630000000002,682.5480000000001,6.0,12.0,12.0,,,char,1,DeviceGray,d,"(0,)","(0,)",109.45199999999988,121.45199999999988,109.45199999999988,4
22,"(12.0, 0.0, 0.0, 12.0, 104.66870000000003, 673.1400000000001)",TimesNewRomanPSMT,0.5,True,104.66870000000003,670.5480000000001,110.66870000000003,682.5480000000001,6.0,12.0,12.0,,,char,1,DeviceGray,d,"(0,)","(0,)",109.45199999999988,121.45199999999988,109.45199999999988,4
23,"(12.0, 0.0, 0.0, 12.0, 110.67110000000002, 673.1400000000001)",TimesNewRomanPSMT,0.444,True,110.67110000000002,670.5480000000001,115.99910000000003,682.5480000000001,5.328000000000003,12.0,12.0,,,char,1,DeviceGray,e,"(0,)","(0,)",109.45199999999988,121.45199999999988,109.45199999999988,4
24,"(12.0, 0.0, 0.0, 12.0, 116.00150000000002, 673.1400000000001)",TimesNewRomanPSMT,0.5,True,116.00150000000002,670.5480000000001,122.00150000000002,682.5480000000001,6.0,12.0,12.0,,,char,1,DeviceGray,d,"(0,)","(0,)",109.45199999999988,121.45199999999988,109.45199999999988,4
25,"(12.0, 0.0, 0.0, 12.0, 122.00390000000002, 673.1400000000001)",TimesNewRomanPSMT,0.25,True,122.00390000000002,670.5480000000001,125.00390000000002,682.5480000000001,3.0,12.0,12.0,,,char,1,DeviceGray, ,"(0,)","(0,)",109.45199999999988,121.45199999999988,109.45199999999988,4
26,"(12.0, 0.0, 0.0, 12.0, 124.97390000000001, 673.1400000000001)",TimesNewRomanPSMT,0.278,True,124.97390000000001,670.5480000000001,128.30990000000003,682.5480000000001,3.3360000000000127,12.0,12.0,,,char,1,DeviceGray,t,"(0,)","(0,)",109.45199999999988,121.45199999999988,109.45199999999988,4
27,"(12.0, 0.0, 0.0, 12.0, 128.31230000000002, 673.1400000000001)",TimesNewRomanPSMT,0.444,True,128.31230000000002,670.5480000000001,133.64030000000002,682.5480000000001,5.328000000000003,12.0,12.0,,,char,1,DeviceGray,e,"(0,)","(0,)",109.45199999999988,121.45199999999988,109.45199999999988,4
28,"(12.0, 0.0, 0.0, 12.0, 133.64270000000002, 673.1400000000001)",TimesNewRomanPSMT,0.5,True,133.64270000000002,670.5480000000001,139.64270000000002,682.5480000000001,6.0,12.0,12.0,,,char,1,DeviceGray,x,"(0,)","(0,)",109.45199999999988,121.45199999999988,109.45199999999988,4
29,"(12.0, 0.0, 0.0, 12.0, 139.6451, 673.1400000000001)",TimesNewRomanPSMT,0.278,True,139.6451,670.5480000000001,142.98110000000003,682.5480000000001,3.3360000000000127,12.0,12.0,,,char,1,DeviceGray,t,"(0,)","(0,)",109.45199999999988,121.45199999999988,109.45199999999988,4
30,"(12.0, 0.0, 0.0, 12.0, 142.98350000000005, 673.1400000000001)",TimesNewRomanPSMT,0.25,True,142.98350000000005,670.5480000000001,145.98350000000005,682.5480000000001,3.0,12.0,12.0,,,char,1,DeviceGray, ,"(0,)","(0,)",109.45199999999988,121.45199999999988,109.45199999999988,4
31,"(12.0, 0.0, 0.0, 12.0, 145.95350000000005, 673.1400000000001)",TimesNewRomanPSMT,0.5,True,145.95350000000005,670.5480000000001,151.95350000000005,682.5480000000001,6.0,12.0,12.0,,,char,1,DeviceGray,u,"(0,)","(0,)",109.45199999999988,121.45199999999988,109.45199999999988,4
32,"(12.0, 0.0, 0.0, 12.0, 151.95590000000004, 673.1400000000001)",TimesNewRomanPSMT,0.5,True,151.95590000000004,670.5480000000001,157.95590000000004,682.5480000000001,6.0,12.0,12.0,,,char,1,DeviceGray,n,"(0,)","(0,)",109.45199999999988,121.45199999999988,109.45199999999988,4
33,"(12.0, 0.0, 0.0, 12.0, 157.95830000000007, 673.1400000000001)",TimesNewRomanPSMT,0.5,True,157.95830000000007,670.5480000000001,163.95830000000007,682.5480000000001,6.0,12.0,12.0,,,char,1,DeviceGray,d,"(0,)","(0,)",109.45199999999988,121.45199999999988,109.45199999999988,4
34,"(12.0, 0.0, 0.0, 12.0, 163.96070000000006, 673.1400000000001)",TimesNewRomanPSMT,0.444,True,163.96070000000006,670.5480000000001,169.28870000000006,682.5480000000001,5.328000000000003,12.0,12.0,,,char,1,DeviceGray,e,"(0,)","(0,)",109.45199999999988,121.45199999999988,109.45199999999988,4
35,"(12.0, 0.0, 0.0, 12.0, 169.29110000000006, 673.1400000000001)",TimesNewRomanPSMT,0.333,True,169.29110000000006,670.5480000000001,173.28710000000007,682.5480000000001,3.9960000000000093,12.0,12.0,,,char,1,DeviceGray,r,"(0,)","(0,)",109.45199999999988,121.45199999999988,109.45199999999988,4
36,"(12.0, 0.0, 0.0, 12.0, 173.2895000000001, 673.1400000000001)",TimesNewRomanPSMT,0.278,True,173.2895000000001,670.5480000000001,176.6255000000001,682.5480000000001,3.3360000000000127,12.0,12.0,,,char,1,DeviceGray,l,"(0,)","(0,)",109.45199999999988,121.45199999999988,109.45199999999988,4
37,"(12.0, 0.0, 0.0, 12.0, 176.62790000000007, 673.1400000000001)",TimesNewRomanPSMT,0.278,True,176.62790000000007,670.5480000000001,179.96390000000008,682.5480000000001,3.3360000000000127,12.0,12.0,,,char,1,DeviceGray,i,"(0,)","(0,)",109.45199999999988,121.45199999999988,109.45199999999988,4
38,"(12.0, 0.0, 0.0, 12.0, 179.96630000000007, 673.1400000000001)",TimesNewRomanPSMT,0.5,True,179.96630000000007,670.5480000000001,185.96630000000007,682.5480000000001,6.0,12.0,12.0,,,char,1,DeviceGray,n,"(0,)","(0,)",109.45199999999988,121.45199999999988,109.45199999999988,4
39,"(12.0, 0.0, 0.0, 12.0, 185.96870000000007, 673.1400000000001)",TimesNewRomanPSMT,0.444,True,185.96870000000007,670.5480000000001,191.29670000000007,682.5480000000001,5.328000000000003,12.0,12.0,,,char,1,DeviceGray,e,"(0,)","(0,)",109.45199999999988,121.45199999999988,109.45199999999988,4
40,"(12.0, 0.0, 0.0, 12.0, 191.29910000000007, 673.1400000000001)",TimesNewRomanPSMT,0.5,True,191.29910000000007,670.5480000000001,197.29910000000007,682.5480000000001,6.0,12.0,12.0,,,char,1,DeviceGray,d,"(0,)","(0,)",109.45199999999988,121.45199999999988,109.45199999999988,4
41,"(12.0, 0.0, 0.0, 12.0, 197.34, 673.14)",TimesNewRomanPSMT,0.278,True,197.34,670.548,200.67600000000002,682.548,3.3360000000000127,12.0,12.0,,,char,1,DeviceGray,;,"(0,)","(0,)",109.452,121.452,109.452,4
42,"(12.0, 0.0, 0.0, 12.0, 200.6424, 673.14)",TimesNewRomanPSMT,0.25,True,200.6424,670.548,203.6424,682.548,3.0,12.0,12.0,,,char,1,DeviceGray, ,"(0,)","(0,)",109.452,121.452,109.452,4
43,"(12.0, 0.0, 0.0, 12.0, 90.0, 659.34)",TimesNewRomanPSMT,0.722,True,90.0,656.748,98.664,668.748,8.664000000000001,12.0,12.0,,,char,1,DeviceGray,D,"(0,)","(0,)",123.25199999999995,135.25199999999995,123.25199999999995,4
44,"(12.0, 0.0, 0.0, 12.0, 98.6724, 659.34)",TimesNewRomanPSMT,0.444,True,98.6724,656.748,104.0004,668.748,5.328000000000003,12.0,12.0,,,char,1,DeviceGray,e,"(0,)","(0,)",123.25199999999995,135.25199999999995,123.25199999999995,4
45,"(12.0, 0.0, 0.0, 12.0, 104.00880000000001, 659.34)",TimesNewRomanPSMT,0.278,True,104.00880000000001,656.748,107.3448,668.748,3.3359999999999985,12.0,12.0,,,char,1,DeviceGray,l,"(0,)","(0,)",123.25199999999995,135.25199999999995,123.25199999999995,4
46,"(12.0, 0.0, 0.0, 12.0, 107.3532, 659.34)",TimesNewRomanPSMT,0.444,True,107.3532,656.748,112.6812,668.748,5.328000000000003,12.0,12.0,,,char,1,DeviceGray,e,"(0,)","(0,)",123.25199999999995,135.25199999999995,123.25199999999995,4
47,"(12.0, 0.0, 0.0, 12.0, 112.6896, 659.34)",TimesNewRomanPSMT,0.278,True,112.6896,656.748,116.0256,668.748,3.3359999999999985,12.0,12.0,,,char,1,DeviceGray,t,"(0,)","(0,)",123.25199999999995,135.25199999999995,123.25199999999995,4
48,"(12.0, 0.0, 0.0, 12.0, 116.034, 659.34)",TimesNewRomanPSMT,0.444,True,116.034,656.748,121.36200000000001,668.748,5.328000000000003,12.0,12.0,,,char,1,DeviceGray,e,"(0,)","(0,)",123.25199999999995,135.25199999999995,123.25199999999995,4
49,"(12.0, 0.0, 0.0, 12.0, 121.3704, 659.34)",TimesNewRomanPSMT,0.5,True,121.3704,656.748,127.3704,668.748,6.0,12.0,12.0,,,char,1,DeviceGray,d,"(0,)","(0,)",123.25199999999995,135.25199999999995,123.25199999999995,4
50,"(12.0, 0.0, 0.0, 12.0, 127.37880000000001, 659.34)",TimesNewRomanPSMT,0.25,True,127.37880000000001,656.748,130.3788,668.748,3.0,12.0,12.0,,,char,1,DeviceGray, ,"(0,)","(0,)",123.25199999999995,135.25199999999995,123.25199999999995,4
51,"(12.0, 0.0, 0.0, 12.0, 130.3392, 659.34)",TimesNewRomanPSMT,0.278,True,130.3392,656.748,133.67520000000002,668.748,3.3360000000000127,12.0,12.0,,,char,1,DeviceGray,t,"(0,)","(0,)",123.25199999999995,135.25199999999995,123.25199999999995,4
52,"(12.0, 0.0, 0.0, 12.0, 133.6836, 659.34)",TimesNewRomanPSMT,0.444,True,133.6836,656.748,139.01160000000002,668.748,5.328000000000003,12.0,12.0,,,char,1,DeviceGray,e,"(0,)","(0,)",123.25199999999995,135.25199999999995,123.25199999999995,4
53,"(12.0, 0.0, 0.0, 12.0, 139.02, 659.34)",TimesNewRomanPSMT,0.5,True,139.02,656.748,145.02,668.748,6.0,12.0,12.0,,,char,1,DeviceGray,x,"(0,)","(0,)",123.25199999999995,135.25199999999995,123.25199999999995,4
54,"(12.0, 0.0, 0.0, 12.0, 145.0284, 659.34)",TimesNewRomanPSMT,0.278,True,145.0284,656.748,148.36440000000002,668.748,3.3360000000000127,12.0,12.0,,,char,1,DeviceGray,t,"(0,)","(0,)",123.25199999999995,135.25199999999995,123.25199999999995,4
55,"(12.0, 0.0, 0.0, 12.0, 148.3728, 659.34)",TimesNewRomanPSMT,0.25,True,148.3728,656.748,151.3728,668.748,3.0,12.0,12.0,,,char,1,DeviceGray, ,"(0,)","(0,)",123.25199999999995,135.25199999999995,123.25199999999995,4
56,"(12.0, 0.0, 0.0, 12.0, 151.33320000000003, 659.34)",TimesNewRomanPSMT,0.278,True,151.33320000000003,656.748,154.66920000000005,668.748,3.3360000000000127,12.0,12.0,,,char,1,DeviceGray,i,"(0,)","(0,)",123.25199999999995,135.25199999999995,123.25199999999995,4
57,"(12.0, 0.0, 0.0, 12.0, 154.67760000000004, 659.34)",TimesNewRomanPSMT,0.5,True,154.67760000000004,656.748,160.67760000000004,668.748,6.0,12.0,12.0,,,char,1,DeviceGray,n,"(0,)","(0,)",123.25199999999995,135.25199999999995,123.25199999999995,4
58,"(12.0, 0.0, 0.0, 12.0, 160.68600000000004, 659.34)",TimesNewRomanPSMT,0.25,True,160.68600000000004,656.748,163.68600000000004,668.748,3.0,12.0,12.0,,,char,1,DeviceGray, ,"(0,)","(0,)",123.25199999999995,135.25199999999995,123.25199999999995,4
59,"(12.0, 0.0, 0.0, 12.0, 163.64640000000003, 659.34)",TimesNewRomanPSMT,0.333,True,163.64640000000003,656.748,167.64240000000004,668.748,3.9960000000000093,12.0,12.0,,,char,1,DeviceGray,[,"(0,)","(0,)",123.25199999999995,135.25199999999995,123.25199999999995,4
60,"(12.0, 0.0, 0.0, 12.0, 167.60280000000006, 659.34)",TimesNewRomanPSMT,0.5,True,167.60280000000006,656.748,173.60280000000006,668.748,6.0,12.0,12.0,,,char,1,DeviceGray,b,"(0,)","(0,)",123.25199999999995,135.25199999999995,123.25199999999995,4
