,matrix,fontname,adv,upright,x0,y0,x1,y1,width,height,size,mcid,tag,object_type,page_number,ncs,text,stroking_color,non_stroking_color,top,bottom,doctop,document_number
0,"(12.0, 0.0, 0.0, 12.0, 72.0, 708.96)",UCCVYE+TimesNewRoman,0.556,True,72.0,705.2760000000001,78.672,717.2760000000001,6.671999999999997,12.0,12.0,,,char,1,DeviceGray,S,"(0,)","(0,)",74.72399999999993,86.72399999999993,74.72399999999993,0
1,"(12.0, 0.0, 0.0, 12.0, 78.66720000000001, 708.96)",UCCVYE+TimesNewRoman,0.611,True,78.66720000000001,705.2760000000001,85.9992,717.2760000000001,7.331999999999994,12.0,12.0,,,char,1,DeviceGray,E,"(0,)","(0,)",74.72399999999993,86.72399999999993,74.72399999999993,0
2,"(12.0, 0.0, 0.0, 12.0, 85.9944, 708.96)",UCCVYE+TimesNewRoman,0.667,True,85.9944,705.2760000000001,93.9984,717.2760000000001,8.004000000000005,12.0,12.0,,,char,1,DeviceGray,C,"(0,)","(0,)",74.72399999999993,86.72399999999993,74.72399999999993,0
3,"(12.0, 0.0, 0.0, 12.0, 93.9936, 708.96)",UCCVYE+TimesNewRoman,0.722,True,93.9936,705.2760000000001,102.6576,717.2760000000001,8.664000000000001,12.0,12.0,,,char,1,DeviceGray,U,"(0,)","(0,)",74.72399999999993,86.72399999999993,74.72399999999993,0
4,"(12.0, 0.0, 0.0, 12.0, 102.6528, 708.96)",UCCVYE+TimesNewRoman,0.667,True,102.6528,705.2760000000001,110.6568,717.2760000000001,8.004000000000005,12.0,12.0,,,char,1,DeviceGray,R,"(0,)","(0,)",74.72399999999993,86.72399999999993,74.72399999999993,0
5,"(12.0, 0.0, 0.0, 12.0, 110.652, 708.96)",UCCVYE+TimesNewRoman,0.333,True,110.652,705.2760000000001,114.648,717.2760000000001,3.995999999999995,12.0,12.0,,,char,1,DeviceGray,I,"(0,)","(0,)",74.72399999999993,86.72399999999993,74.72399999999993,0
6,"(12.0, 0.0, 0.0, 12.0, 114.64320000000001, 708.96)",UCCVYE+TimesNewRoman,0.611,True,114.64320000000001,705.2760000000001,121.9752,717.2760000000001,7.331999999999994,12.0,12.0,,,char,1,DeviceGray,T,"(0,)","(0,)",74.72399999999993,86.72399999999993,74.72399999999993,0
7,"(12.0, 0.0, 0.0, 12.0, 121.9704, 708.96)",UCCVYE+TimesNewRoman,0.333,True,121.9704,705.2760000000001,125.9664,717.2760000000001,3.995999999999995,12.0,12.0,,,char,1,DeviceGray,I,"(0,)","(0,)",74.72399999999993,86.72399999999993,74.72399999999993,0
8,"(12.0, 0.0, 0.0, 12.0, 125.9616, 708.96)",UCCVYE+TimesNewRoman,0.611,True,125.9616,705.2760000000001,133.2936,717.2760000000001,7.331999999999994,12.0,12.0,,,char,1,DeviceGray,E,"(0,)","(0,)",74.72399999999993,86.72399999999993,74.72399999999993,0
9,"(12.0, 0.0, 0.0, 12.0, 133.2888, 708.96)",UCCVYE+TimesNewRoman,0.556,True,133.2888,705.2760000000001,139.9608,717.2760000000001,6.671999999999997,12.0,12.0,,,char,1,DeviceGray,S,"(0,)","(0,)",74.72399999999993,86.72399999999993,74.72399999999993,0
10,"(12.0, 0.0, 0.0, 12.0, 139.95600000000002, 708.96)",UCCVYE+TimesNewRoman,0.25,True,139.95600000000002,705.2760000000001,142.95600000000002,717.2760000000001,3.0,12.0,12.0,,,char,1,DeviceGray, ,"(0,)","(0,)",74.72399999999993,86.72399999999993,74.72399999999993,0
11,"(12.0, 0.0, 0.0, 12.0, 142.9512, 708.96)",UCCVYE+TimesNewRoman,0.722,True,142.9512,705.2760000000001,151.6152,717.2760000000001,8.663999999999987,12.0,12.0,,,char,1,DeviceGray,A,"(0,)","(0,)",74.72399999999993,86.72399999999993,74.72399999999993,0
12,"(12.0, 0.0, 0.0, 12.0, 151.61040000000003, 708.96)",UCCVYE+TimesNewRoman,0.722,True,151.61040000000003,705.2760000000001,160.2744,717.2760000000001,8.663999999999987,12.0,12.0,,,char,1,DeviceGray,N,"(0,)","(0,)",74.72399999999993,86.72399999999993,74.72399999999993,0
13,"(12.0, 0.0, 0.0, 12.0, 160.26960000000003, 708.96)",UCCVYE+TimesNewRoman,0.722,True,160.26960000000003,705.2760000000001,168.9336,717.2760000000001,8.663999999999987,12.0,12.0,,,char,1,DeviceGray,D,"(0,)","(0,)",74.72399999999993,86.72399999999993,74.72399999999993,0
14,"(12.0, 0.0, 0.0, 12.0, 168.92880000000002, 708.96)",UCCVYE+TimesNewRoman,0.25,True,168.92880000000002,705.2760000000001,171.92880000000002,717.2760000000001,3.0,12.0,12.0,,,char,1,DeviceGray, ,"(0,)","(0,)",74.72399999999993,86.72399999999993,74.72399999999993,0
15,"(12.0, 0.0, 0.0, 12.0, 171.924, 708.96)",UCCVYE+TimesNewRoman,0.611,True,171.924,705.2760000000001,179.256,717.2760000000001,7.331999999999994,12.0,12.0,,,char,1,DeviceGray,E,"(0,)","(0,)",74.72399999999993,86.72399999999993,74.72399999999993,0
16,"(12.0, 0.0, 0.0, 12.0, 179.25119999999998, 708.96)",UCCVYE+TimesNewRoman,0.722,True,179.25119999999998,705.2760000000001,187.91519999999997,717.2760000000001,8.663999999999987,12.0,12.0,,,char,1,DeviceGray,X,"(0,)","(0,)",74.72399999999993,86.72399999999993,74.72399999999993,0
17,"(12.0, 0.0, 0.0, 12.0, 187.98, 708.96)",UCCVYE+TimesNewRoman,0.667,True,187.98,705.2760000000001,195.98399999999998,717.2760000000001,8.00399999999999,12.0,12.0,,,char,1,DeviceGray,C,"(0,)","(0,)",74.72399999999993,86.72399999999993,74.72399999999993,0
18,"(12.0, 0.0, 0.0, 12.0, 195.9756, 708.96)",UCCVYE+TimesNewRoman,0.722,True,195.9756,705.2760000000001,204.63959999999997,717.2760000000001,8.663999999999987,12.0,12.0,,,char,1,DeviceGray,H,"(0,)","(0,)",74.72399999999993,86.72399999999993,74.72399999999993,0
19,"(12.0, 0.0, 0.0, 12.0, 204.63119999999998, 708.96)",UCCVYE+TimesNewRoman,0.722,True,204.63119999999998,705.2760000000001,213.29519999999997,717.2760000000001,8.663999999999987,12.0,12.0,,,char,1,DeviceGray,A,"(0,)","(0,)",74.72399999999993,86.72399999999993,74.72399999999993,0
20,"(12.0, 0.0, 0.0, 12.0, 213.2868, 708.96)",UCCVYE+TimesNewRoman,0.722,True,213.2868,705.2760000000001,221.9508,717.2760000000001,8.663999999999987,12.0,12.0,,,char,1,DeviceGray,N,"(0,)","(0,)",74.72399999999993,86.72399999999993,74.72399999999993,0
21,"(12.0, 0.0, 0.0, 12.0, 221.9424, 708.96)",UCCVYE+TimesNewRoman,0.722,True,221.9424,705.2760000000001,230.60639999999998,717.2760000000001,8.663999999999987,12.0,12.0,,,char,1,DeviceGray,G,"(0,)","(0,)",74.72399999999993,86.72399999999993,74.72399999999993,0
22,"(12.0, 0.0, 0.0, 12.0, 230.59799999999998, 708.96)",UCCVYE+TimesNewRoman,0.611,True,230.59799999999998,705.2760000000001,237.92999999999998,717.2760000000001,7.331999999999994,12.0,12.0,,,char,1,DeviceGray,E,"(0,)","(0,)",74.72399999999993,86.72399999999993,74.72399999999993,0
23,"(12.0, 0.0, 0.0, 12.0, 237.92159999999998, 708.96)",UCCVYE+TimesNewRoman,0.25,True,237.92159999999998,705.2760000000001,240.92159999999998,717.2760000000001,3.0,12.0,12.0,,,char,1,DeviceGray, ,"(0,)","(0,)",74.72399999999993,86.72399999999993,74.72399999999993,0
24,"(12.0, 0.0, 0.0, 12.0, 240.9852, 708.96)",UCCVYE+TimesNewRoman,0.667,True,240.9852,705.2760000000001,248.98919999999998,717.2760000000001,8.00399999999999,12.0,12.0,,,char,1,DeviceGray,C,"(0,)","(0,)",74.72399999999993,86.72399999999993,74.72399999999993,0
25,"(12.0, 0.0, 0.0, 12.0, 249.0288, 708.96)",UCCVYE+TimesNewRoman,0.722,True,249.0288,705.2760000000001,257.6928,717.2760000000001,8.663999999999987,12.0,12.0,,,char,1,DeviceGray,O,"(0,)","(0,)",74.72399999999993,86.72399999999993,74.72399999999993,0
26,"(12.0, 0.0, 0.0, 12.0, 257.6604, 708.96)",UCCVYE+TimesNewRoman,0.889,True,257.6604,705.2760000000001,268.3284,717.2760000000001,10.668000000000006,12.0,12.0,,,char,1,DeviceGray,M,"(0,)","(0,)",74.72399999999993,86.72399999999993,74.72399999999993,0
27,"(12.0, 0.0, 0.0, 12.0, 268.31999999999994, 708.96)",UCCVYE+TimesNewRoman,0.889,True,268.31999999999994,705.2760000000001,278.98799999999994,717.2760000000001,10.668000000000006,12.0,12.0,,,char,1,DeviceGray,M,"(0,)","(0,)",74.72399999999993,86.72399999999993,74.72399999999993,0
28,"(12.0, 0.0, 0.0, 12.0, 278.9796, 708.96)",UCCVYE+TimesNewRoman,0.333,True,278.9796,705.2760000000001,282.9756,717.2760000000001,3.995999999999981,12.0,12.0,,,char,1,DeviceGray,I,"(0,)","(0,)",74.72399999999993,86.72399999999993,74.72399999999993,0
